journey_id,signature,dimension,lifespan,birth_tau,death_tau,has_reentry,component_id,glued_with_count,witnesses
journey_33,developed_love_poem,0,29,0,29,True,0,367,critical;property;goal;something;records;born;product;yourself;capital;date;keep;cover;recursive;private;challenges
journey_34,signature_love_poem,0,27,0,26,False,0,354,critical;property;goal;born;records;product;complex;square;date;capital;cover;another;private;choice;challenges
journey_35,studies_poem_love,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;studies;music;place;verse;never;voice;work;love
journey_36,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_37,worked_love_bring,0,37,0,36,False,0,404,property;goal;born;records;something;product;complex;date;capital;cover;another;paragraph;basin;recursive;coherence
journey_38,number_love_poem,0,36,0,36,True,0,399,critical;property;goal;born;records;something;product;compare;date;capital;cover;paragraph;basin;recursive;coherence
journey_39,known_love_never,0,1,0,0,False,0,122,poernomo;chorus;little;success;known;hard;night;poem;bring;music;place;never;voice;work;love
journey_40,opening_love_success,0,1,0,0,False,0,122,chorus;little;success;journey;night;poem;bring;music;place;verse;never;opening;voice;work;love
journey_41,become_love_bring,0,1,0,0,False,0,122,poernomo;chorus;little;success;feel;always;poem;bring;music;place;become;never;voice;work;love
journey_42,city_love_poem,0,5,0,4,False,0,240,down;property;goal;records;address;another;developed;house;language;help;business;analysis;love;quality;used
journey_43,following_love_never,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;following;always;music;place;never;voice;work;love
journey_44,among_love_bring,0,1,0,0,False,0,121,poernomo;chorus;little;success;night;poem;bring;around;music;place;among;voice;never;work;love
journey_45,running_love_poem,0,21,0,21,True,0,344,critical;property;goal;born;records;product;date;capital;cover;another;private;anything;feel;success;provide
journey_46,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_47,shows_love_bring,0,36,0,36,True,0,408,critical;property;goal;born;records;product;symbolic;apply;date;serve;capital;cover;paragraph;basin;recursive
journey_48,various_love_never,0,30,0,30,True,0,372,critical;property;goal;born;records;something;product;typing;yourself;capital;date;another;cover;relational;recursive
journey_49,events_love_poem,0,1,0,0,False,0,123,chorus;little;success;journey;night;poem;bring;song;music;place;events;never;voice;work;love
journey_50,further_love_never,0,37,0,36,False,0,408,property;goal;born;records;something;product;date;capital;cover;another;paragraph;relational;recursive;keep;coherence
journey_51,creative_love_poem,0,36,0,36,True,0,406,critical;property;goal;born;records;something;product;behavior;trust;yourself;capital;date;cover;paragraph;basin
journey_52,love_never_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;music;place;heart;never;voice;sweet;work;love
journey_53,poem_love_song,0,1,0,0,False,0,123,chorus;little;success;journey;night;poem;bring;song;music;place;verse;never;voice;work;love
journey_54,iman_poernomo_love,0,1,0,0,False,0,123,poernomo;iman;little;success;chorus;night;poem;bring;music;place;heart;never;voice;work;love
journey_55,poernomo_iman_love,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;night;poem;bring;music;place;verse;never;voice;work;love
journey_56,comes_love_bring,0,36,0,36,True,0,407,property;goal;born;something;product;apply;crucial;date;serve;capital;cover;keep;paragraph;recursive;basin
journey_57,comes_love_bring,0,29,0,29,True,0,368,critical;property;goal;something;born;records;product;date;serve;cover;another;recursive;private;challenges;anything
journey_58,london_love_poem,0,1,0,0,False,0,121,poernomo;chorus;iman;success;little;night;poem;bring;music;place;london;never;voice;work;love
journey_59,three_love_never,0,33,0,33,True,0,381,critical;property;goal;something;records;born;product;complex;date;capital;cover;another;paragraph;relational;recursive
journey_60,children_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;children;song;music;place;verse;never;voice;work;love
journey_61,isaac_poernomo_iman,0,1,0,0,False,0,122,poernomo;iman;little;success;chorus;work;night;poem;bring;music;place;never;voice;isaac;love
journey_62,children_love_poem,0,36,0,36,True,0,407,property;goal;born;records;something;product;yourself;capital;date;another;cover;paragraph;recursive;basin;coherence
journey_63,beautiful_love_poem,0,1,0,0,False,0,121,chorus;little;success;night;poem;bring;music;voice;place;great;beautiful;never;sweet;work;love
journey_64,iman_poernomo_love,0,1,0,0,False,0,123,poernomo;iman;little;success;chorus;night;poem;bring;music;place;heart;never;voice;work;love
journey_65,short_love_poem,0,11,0,10,False,0,277,property;goal;starting;date;capital;another;success;provide;ensuring;ensure;time;sweet;hard;better;music
journey_66,dark_love_poem,0,1,0,0,False,0,122,poernomo;chorus;little;success;night;poem;bring;music;place;dark;never;voice;sweet;work;love
journey_67,type_love_poem,0,1,0,0,False,0,122,poernomo;chorus;little;success;night;poem;bring;type;music;place;name;never;voice;work;love
journey_68,theory_poem_love,0,36,0,36,True,0,407,critical;property;goal;born;records;something;product;complex;culture;date;capital;cover;paragraph;basin;recursive
journey_69,theology_poem_love,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;theology;never;voice;work;love
journey_70,others_love_never,0,5,0,4,False,0,242,down;property;goal;something;address;lead;yourself;another;developed;once;language;help;business;analysis;love
journey_71,cannot_love_never,0,1,0,0,False,0,123,poernomo;chorus;little;success;hard;always;poem;bring;cannot;music;place;never;voice;work;love
journey_72,poem_love_song,0,1,0,0,False,0,123,chorus;little;success;journey;night;poem;bring;song;music;place;verse;never;voice;work;love
journey_73,explicit_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;never;voice;explicit;work;love
journey_74,writing_love_poem,0,6,0,5,False,0,262,down;writing;journey;goal;property;learning;records;women;request;address;entry;array;public;developed;language
journey_75,explicit_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;never;voice;explicit;work;love
journey_76,themes_poem_love,0,18,0,17,False,0,339,critical;property;goal;records;date;capital;private;anything;feel;success;provide;space;find;ensure;quite
journey_77,particularly_love_never,0,1,0,0,False,0,123,poernomo;chorus;little;success;particularly;hard;always;poem;bring;music;place;never;voice;work;love
journey_78,context_love_poem,0,37,0,36,False,0,402,critical;property;goal;born;records;ledger;something;product;complex;date;capital;cover;another;panel;syntax
journey_79,goes_love_bring,0,11,0,10,False,0,277,property;goal;records;yourself;capital;date;another;choice;success;provide;ensure;time;bank;hard;point
journey_80,against_love_bring,0,11,0,10,False,0,276,property;goal;builds;date;capital;another;against;challenges;success;provide;play;ensuring;ensure;time;hard
journey_81,policy_love_poem,0,36,0,36,True,0,405,property;goal;something;records;product;date;capital;cover;paragraph;basin;keep;recursive;coherence;status;scheduler
journey_82,creation_love_success,0,36,0,36,True,0,408,property;goal;born;records;something;product;date;capital;cover;paragraph;keep;basin;prove;coherence;reading
journey_83,nature_love_poem,0,36,0,36,True,0,403,critical;feedback;property;goal;born;records;product;culture;yourself;capital;date;another;cover;paragraph;recursive
journey_84,happy_love_never,0,1,0,0,False,0,122,chorus;little;success;hard;poem;bring;happy;music;place;great;never;voice;sweet;work;love
journey_85,help_love_bring,0,36,0,36,True,0,409,property;goal;something;records;born;product;behavior;complex;culture;date;capital;sets;another;keep;cover
journey_86,poem_love_song,0,1,0,0,False,0,123,chorus;little;success;journey;night;poem;bring;song;music;place;verse;never;voice;work;love
journey_87,voice_love_poem,0,11,0,10,False,0,276,property;goal;records;apply;date;capital;choice;success;provide;create;ensuring;ensure;time;processing;music
journey_88,powerful_love_success,0,36,0,36,True,0,404,property;goal;something;records;born;product;culture;yourself;capital;date;another;cover;paragraph;recursive;keep
journey_89,lift_love_poem,0,11,0,10,False,0,276,property;goal;records;culture;date;capital;environment;success;provide;time;bank;company;energy;game;lift
journey_90,soul_love_poem,0,37,0,36,False,0,401,property;goal;born;records;something;product;yourself;date;cover;another;paragraph;basin;recursive;coherence;scheduler
journey_91,love_never_poem,0,35,0,36,True,0,398,property;goal;born;records;product;date;capital;cover;sets;paragraph;basin;recursive;points;coherence;scheduler
journey_92,voice_love_poem,0,11,0,10,False,0,278,property;goal;records;date;capital;another;challenges;success;provide;ensure;time;music;projects;city;number
journey_93,music_love_poem,0,11,0,10,False,0,277,property;goal;records;date;capital;another;success;provide;ensuring;ensure;time;asked;processing;music;projects
journey_94,deep_love_bring,0,11,0,10,False,0,276,critical;property;goal;records;yourself;capital;date;another;sets;success;provide;ensure;time;sweet;context
journey_95,feeling_love_poem,0,28,0,28,True,0,367,property;goal;born;records;something;product;date;capital;serve;another;cover;private;anything;feel;success
journey_96,heart_love_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;journey;night;poem;bring;music;place;heart;never;voice;work;love
journey_97,full_love_success,0,30,0,31,True,0,376,critical;property;goal;born;records;something;product;date;capital;cover;another;recursive;reading;private;anything
journey_98,fire_love_poem,0,11,0,10,False,0,275,plan;property;goal;records;date;capital;another;challenges;success;provide;time;bank;hard;energy;processing
journey_99,magic_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;never;voice;sweet;work;love;magic
journey_100,desire_love_success,0,11,0,10,False,0,276,property;goal;records;yourself;capital;built;another;date;success;provide;ensuring;ensure;time;spirit;required
journey_101,voice_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;name;never;voice;work;love
journey_102,captures_love_poem,0,11,0,10,False,0,276,property;goal;records;culture;yourself;capital;date;breaks;challenges;success;provide;ensuring;ensure;time;bank
journey_103,every_love_never,0,6,0,5,False,0,262,down;array;property;goal;replaced;request;address;entry;yourself;public;take;another;developed;language;help
journey_104,note_love_poem,0,1,0,0,False,0,122,poernomo;chorus;little;success;night;poem;bring;music;place;verse;never;voice;note;work;love
journey_105,music_love_poem,0,11,0,10,False,0,276,property;goal;records;yourself;capital;date;success;provide;ensuring;ensure;time;standards;processing;music;relationship
journey_106,lives_love_success,0,5,0,4,False,0,242,down;journey;goal;property;records;address;another;developed;language;help;business;analysis;love;quality;used
journey_107,voice_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;name;never;voice;work;love
journey_108,pure_love_never,0,4,0,3,False,0,229,down;property;goal;address;yourself;developed;language;help;maintain;love;quality;used;success;including;provide
journey_109,music_love_poem,0,11,0,10,False,0,275,property;goal;records;date;capital;built;another;success;provide;ensuring;ensure;time;asked;processing;music
journey_110,voice_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;verse;name;never;voice;work;love
journey_111,music_love_poem,0,1,0,0,False,0,124,chorus;little;success;night;poem;bring;song;music;place;verse;house;never;voice;work;love
journey_112,part_love_poem,0,11,0,10,False,0,276,property;goal;yourself;date;capital;panel;success;provide;ensure;time;bank;processing;music;projects;city
journey_113,soul_love_poem,0,18,0,17,False,0,328,critical;property;goal;born;yourself;capital;date;another;private;robust;anything;feel;success;provide;space
journey_114,poem_love_song,0,9,0,8,False,0,273,plan;property;goal;records;date;capital;success;including;provide;ensure;time;music;projects;science;number
journey_115,voice_love_poem,0,16,0,15,False,0,356,critical;property;goal;born;yourself;capital;date;another;keep;private;success;including;provide;space;ensuring
journey_116,total_love_bring,0,11,0,10,False,0,277,property;goal;records;date;capital;another;success;provide;create;ensuring;ensure;time;processing;music;projects
journey_117,control_love_success,0,11,0,10,False,0,277,property;goal;something;records;culture;date;capital;simple;success;including;provide;ensuring;ensure;time;bank
journey_118,black_love_poem,0,1,0,0,False,0,122,chorus;little;success;black;night;poem;bring;music;place;verse;never;voice;sweet;work;love
journey_119,music_love_poem,0,1,0,0,False,0,124,chorus;little;success;night;poem;bring;song;music;place;verse;house;never;voice;work;love
journey_120,around_love_never,0,5,0,4,False,0,242,down;during;property;goal;records;around;address;another;developed;language;help;analysis;types;love;quality
journey_121,heart_love_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;journey;night;poem;bring;music;place;heart;never;voice;work;love
journey_122,full_love_success,0,11,0,10,False,0,275,critical;property;goal;date;capital;challenges;success;provide;manage;ensuring;ensure;time;bank;focusing;hard
journey_123,magic_love_poem,0,1,0,0,False,0,123,chorus;little;success;night;poem;bring;song;music;place;never;voice;sweet;work;love;magic
journey_124,spirit_love_poem,0,11,0,10,False,0,276,property;goal;something;records;culture;asset;capital;date;challenges;success;provide;ensuring;ensure;time;standards
journey_125,mark_love_bring,0,11,0,10,False,0,277,property;goal;date;capital;another;success;provide;ensure;form;time;check;hard;company;processing;music
journey_126,world_love_never,0,14,0,14,True,0,360,critical;property;goal;born;records;culture;yourself;capital;date;private;success;provide;space;ensure;time
journey_127,clear_love_bring,0,11,0,10,False,0,276,critical;property;goal;date;capital;another;success;including;provide;ensuring;ensure;time;driven;hard;processing
journey_128,lyrics_love_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;poem;lyrics;song;bring;music;place;verse;never;voice;work;love
journey_129,poetic_love_poem,0,9,0,8,False,0,273,property;goal;records;yourself;capital;date;another;success;design;provide;ensure;time;poetic;energy;processing
journey_130,divine_love_poem,0,11,0,10,False,0,276,property;goal;something;records;date;capital;another;challenges;success;including;provide;ensuring;ensure;time;future
journey_131,stage_love_poem,0,11,0,10,False,0,275,plan;property;goal;records;date;capital;another;challenges;success;provide;time;bank;energy;processing;music
journey_132,presence_love_success,0,11,0,10,False,0,276,property;goal;records;culture;yourself;capital;date;environment;success;provide;time;bank;company;energy;spirit
journey_133,truly_love_never,0,23,0,23,True,0,346,critical;property;goal;something;unique;born;records;product;yourself;capital;date;another;cover;naturally;private
journey_134,kind_love_bring,0,3,0,2,False,0,175,critical;down;property;goal;records;culture;heart;developed;language;help;kind;love;ancient;quality;used
journey_135,music_love_poem,0,11,0,10,False,0,276,property;goal;records;culture;date;capital;trace;challenges;success;provide;ensuring;ensure;time;comprehensive;bank
journey_136,live_love_poem,0,11,0,10,False,0,275,property;goal;records;date;capital;success;provide;ensure;time;music;projects;city;number;organization;science
journey_137,song_poem_love,0,1,0,0,False,0,124,chorus;little;success;night;poem;bring;song;music;place;verse;house;never;voice;work;love
journey_138,song_poem_love,0,11,0,10,False,0,277,property;goal;something;records;date;capital;challenges;success;provide;ensuring;ensure;time;future;music;relationship
journey_139,verse_poem_chorus,0,7,0,6,False,0,263,property;goal;records;capital;success;provide;ensure;time;music;number;organization;within;function;never;doctor
journey_140,eyes_love_poem,0,36,0,36,True,0,403,property;goal;something;records;born;product;crucial;date;capital;cover;keep;paragraph;prove;recursive;coherence
journey_141,fast_love_never,0,36,0,36,True,0,406,critical;property;goal;records;product;date;capital;cover;another;keep;paragraph;recursive;basin;coherence;scheduler
journey_142,chorus_poem_love,0,11,0,10,False,0,276,property;goal;something;records;date;capital;success;provide;reference;ensuring;ensure;time;better;processing;music
journey_143,house_love_poem,0,1,0,0,False,0,124,chorus;little;success;night;poem;bring;song;music;place;verse;house;never;voice;work;love
journey_144,stuff_love_poem,0,11,0,10,False,0,276,property;goal;records;yourself;capital;date;choice;challenges;success;provide;ensuring;ensure;time;bank;emotional
journey_145,never_love_bring,0,19,0,19,True,0,344,critical;property;goal;something;born;records;date;capital;another;included;private;anything;feel;success;including
journey_146,down_love_never,0,1,0,0,False,0,124,poernomo;chorus;down;success;little;hard;night;poem;bring;music;place;never;voice;work;love
journey_147,verse_poem_chorus,0,6,0,5,False,0,262,down;array;property;goal;records;request;address;entry;depending;public;developed;language;help;analysis;knowledge
journey_148,always_love_never,0,36,0,36,True,0,401,critical;property;goal;born;records;something;product;yourself;capital;date;another;keep;cover;recursive;paragraph
journey_149,always_love_never,0,4,0,3,False,0,229,down;journey;goal;property;address;developed;language;help;maintain;love;quality;used;success;including;provide
journey_150,clean_love_poem,0,5,0,4,False,0,240,down;property;goal;records;power;address;lead;developed;house;language;help;business;analysis;types;love
journey_151,look_love_bring,0,30,0,29,False,0,365,critical;property;goal;born;records;something;product;date;capital;cover;recursive;representing;private;anything;feel
journey_152,easy_love_never,0,36,0,36,True,0,402,critical;feedback;property;goal;something;unique;born;records;product;root;complex;date;capital;cover;another
journey_153,chorus_poem_love,0,11,0,10,False,0,278,property;goal;something;records;date;capital;success;design;provide;stream;ensure;time;capture;processing;music
journey_154,house_love_poem,0,1,0,0,False,0,124,chorus;little;success;night;poem;bring;song;music;place;verse;house;never;voice;work;love
journey_155,rule_love_poem,0,4,0,3,False,0,227,meaning;down;plan;property;goal;records;address;developed;language;help;business;types;love;argument;quality
journey_156,never_love_bring,0,8,0,7,False,0,266,property;goal;records;yourself;capital;another;anything;success;including;provide;ensure;time;hard;music;projects
journey_157,down_love_never,0,1,0,0,False,0,124,poernomo;chorus;down;success;little;hard;night;poem;bring;music;place;never;voice;work;love
journey_158,bridge_poem_love,0,1,0,0,False,0,122,chorus;little;success;night;poem;bring;music;place;verse;house;never;voice;work;love;bridge
journey_159,thing_love_place,0,5,0,4,False,0,243,down;property;goal;records;address;lead;another;developed;language;help;generation;business;analysis;types;love
journey_160,love_never_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;music;place;heart;never;voice;sweet;work;love
journey_161,give_love_bring,0,36,0,36,True,0,402,property;goal;born;something;product;apply;date;serve;capital;cover;keep;paragraph;recursive;basin;coherence
journey_162,never_love_bring,0,1,0,0,False,0,125,chorus;little;success;hard;always;poem;bring;night;music;place;every;never;voice;work;love
journey_163,thinking_love_poem,0,11,0,10,False,0,276,property;goal;date;capital;another;success;including;provide;ensuring;ensure;time;hard;processing;music;projects
journey_164,love_never_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;music;place;heart;never;voice;sweet;work;love
journey_165,love_never_poem,0,1,0,0,False,0,123,poernomo;chorus;little;success;night;poem;bring;music;place;heart;never;voice;sweet;work;love
journey_166,management_data_quality,0,13,2,10,True,0,206,property;product;culture;date;capital;time;group;show;company;music;projects;city;science;number;organization
journey_167,complete_data_quality,0,18,2,10,True,0,205,property;records;date;capital;challenges;provide;ensure;time;risk;standards;context;point;shifts;company;processing
journey_168,whether_data_quality,0,10,2,10,True,0,203,property;date;capital;including;provide;ensure;time;company;required;processing;music;projects;city;didn;number
journey_169,living_data_quality,0,16,2,10,True,0,204,property;something;records;unique;culture;date;capital;ensure;time;music;projects;city;number;organization;based
journey_170,business_data_quality,0,44,2,36,True,0,390,property;something;records;product;culture;apply;date;capital;cover;paragraph;basin;prove;recursive;coherence;scheduler
journey_171,room_data_information,0,18,2,10,True,0,206,property;records;date;capital;ensuring;ensure;time;bank;processing;music;projects;city;number;organization;science
journey_172,great_data_quality,0,43,2,36,True,0,397,critical;property;records;product;crucial;date;capital;cover;paragraph;basin;recursive;coherence;scheduler;private;challenges
journey_173,london_data_quality,0,9,2,10,True,0,205,property;records;date;capital;london;choice;ensure;time;company;music;projects;city;science;organization;modern
journey_174,position_data_information,0,44,2,36,True,0,395,property;born;records;product;date;capital;cover;paragraph;basin;entity;recursive;coherence;scheduler;private;challenges
journey_175,shared_data_information,0,13,2,10,True,0,203,critical;property;records;date;capital;including;provide;ensure;time;company;processing;music;projects;city;number
journey_176,service_data_quality,0,18,2,10,True,0,204,property;records;product;culture;date;capital;challenges;provide;ensuring;find;ensure;time;bank;driven;view
journey_177,novel_data_quality,0,18,2,10,True,0,203,property;records;date;capital;challenges;ensure;time;music;projects;city;science;number;organization;ability;function
journey_178,reflect_data_information,0,18,2,10,True,0,205,white;property;date;capital;choice;including;provide;create;ensuring;reflect;ensure;time;names;company;energy
journey_179,problem_data_information,0,18,2,10,True,0,202,property;something;records;date;capital;private;provide;ensure;time;bank;group;energy;music;projects;city
journey_180,ensure_data_information,0,15,2,10,True,0,203,property;something;date;capital;including;provide;create;ensuring;ensure;time;processing;music;projects;city;number
journey_181,standards_data_quality,0,18,2,10,True,0,205,property;records;culture;date;capital;ensuring;ensure;time;standards;processing;music;projects;city;science;number
journey_182,identified_data_information,0,18,2,10,True,0,204,critical;property;something;records;date;capital;challenges;including;provide;ensuring;strictly;ensure;time;risk;company
journey_183,found_data_information,0,14,2,10,True,0,203,property;records;date;capital;including;provide;create;ensuring;ensure;time;bank;music;projects;city;number
journey_184,must_data_information,0,43,2,36,True,0,397,critical;property;something;records;born;product;warn;date;capital;cover;keep;basin;paragraph;recursive;coherence
journey_185,track_data_quality,0,18,2,10,True,0,203,critical;property;something;records;date;capital;status;choice;challenges;provide;ensuring;ensure;time;processing;music
journey_186,critical_data_quality,0,44,2,36,True,0,397,critical;property;computational;something;born;records;product;date;capital;cover;paragraph;basin;keep;recursive;coherence
journey_187,sure_data_quality,0,12,2,10,True,0,205,property;compare;date;capital;including;provide;manage;ensuring;ensure;time;view;processing;music;projects;city
journey_188,including_data_information,0,12,2,10,True,0,204,property;records;date;capital;interpretation;including;provide;ensure;time;energy;processing;music;projects;city;number
journey_189,interpretation_data_quality,0,37,2,29,True,0,363,critical;property;born;records;something;product;date;capital;cover;interpretation;recursive;private;anything;feel;provide
journey_190,examples_data_quality,0,18,2,10,True,0,205,property;records;date;capital;challenges;provide;ensuring;ensure;time;group;energy;processing;music;projects;city
journey_191,records_data_quality,0,18,2,10,True,0,204,property;records;culture;date;capital;space;ensure;time;bank;standards;company;energy;music;projects;city
journey_192,used_data_quality,0,18,2,10,True,0,202,property;records;date;capital;challenges;including;provide;ensuring;ensure;time;driven;processing;music;projects;city
journey_193,different_data_quality,0,18,2,10,True,0,206,critical;property;something;date;capital;provide;ensuring;ensure;time;music;projects;city;science;number;organization
journey_194,lead_data_quality,0,18,2,10,True,0,202,critical;property;born;records;date;capital;challenges;including;provide;ensuring;ensure;thank;time;energy;processing
journey_195,overall_data_quality,0,16,2,10,True,0,203,property;date;capital;challenges;including;provide;create;ensuring;ensure;time;asked;processing;music;projects;city
journey_196,love_data_quality,0,43,2,36,True,0,391,critical;property;something;records;unique;born;product;main;typing;date;capital;cover;keep;paragraph;basin
journey_197,method_data_quality,0,18,2,10,True,0,202,property;records;unique;date;capital;choice;robust;success;provide;ensuring;find;ensure;time;view;processing
journey_198,introduction_data_information,0,44,2,36,True,0,397,critical;property;something;records;product;culture;apply;date;capital;cover;another;paragraph;basin;recursive;coherence
journey_199,processes_data_quality,0,11,2,10,True,0,203,property;records;date;capital;entities;challenges;ensuring;ensure;time;standards;driven;reflexive;processing;music;broken
journey_200,cultural_data_quality,0,44,2,36,True,0,394,critical;property;born;records;something;product;culture;date;capital;cover;paragraph;basin;trace;recursive;prove
journey_201,care_data_quality,0,43,2,36,True,0,392,property;born;records;something;product;site;culture;date;capital;cover;keep;paragraph;basin;recursive;coherence
journey_202,culture_data_quality,0,18,2,10,True,0,205,property;records;culture;date;capital;challenges;ensuring;ensure;believe;time;dark;energy;breath;processing;works
journey_203,property_data_information,0,18,2,10,True,0,203,property;records;date;capital;private;load;joke;ensure;time;bank;company;energy;processing;music;projects
journey_204,take_data_quality,0,18,2,10,True,0,203,critical;property;something;date;capital;challenges;provide;play;ensuring;ensure;time;smooth;bank;inductive;energy
journey_205,something_data_information,0,13,2,10,True,0,203,property;something;date;capital;including;provide;create;ensuring;ensure;form;time;processing;music;remember;projects
journey_206,success_data_quality,0,15,2,10,True,0,203,property;date;capital;load;success;including;provide;ensure;time;bank;processing;music;projects;city;number
journey_207,during_data_quality,0,44,2,36,True,0,397,critical;property;born;records;product;date;capital;cover;paragraph;basin;recursive;coherence;separate;scheduler;private
journey_208,check_data_quality,0,11,2,10,True,0,203,property;date;capital;challenges;provide;create;ensure;time;check;processing;music;projects;city;number;organization
